seq,side,choice1
1426,Roquefort,D
1427,Roquefort,H
1428,Brie,E
1429,Gorgonzola,D
1430,Annon,H
1431,Camenbert,B
1432,Annon,C
1433,Roquefort,G
1434,Ricotta,G
1435,Annon,B
1436,Roquefort,D
1437,Cheddar,D
1438,Valencay,F
1439,Annon,D
1440,Ricotta,F
1441,Annon,D
1442,Camenbert,A
1443,Valencay,F
1444,Camenbert,E
1445,Ricotta,E
1446,Ricotta,G
1447,Cheddar,F
1448,Gorgonzola,B
1449,Camenbert,F
1450,Ricotta,B
1451,Gorgonzola,B
1452,Annon,B
1453,Ricotta,E
1454,Brie,C
1455,Annon,H
1456,Valencay,H
1457,Cheddar,B
1458,Annon,B
1459,Cheddar,H
1460,Annon,B
1461,Gorgonzola,E
1462,Camenbert,D
1463,Cheddar,F
1464,Ricotta,D
1465,Valencay,D
1466,Ricotta,E
1467,Roquefort,F
1468,Valencay,B
1469,Annon,H
1470,Annon,H
1471,Cheddar,F
1472,Gorgonzola,B
1473,Ricotta,E
1474,Ricotta,D
1475,Camenbert,H
1476,Roquefort,D
1477,Gorgonzola,E
1478,Cheddar,G
1479,Roquefort,C
1480,Cheddar,A
1481,Valencay,E
1482,Annon,G
1483,Cheddar,C
1484,Camenbert,E
1485,Roquefort,D
1486,Valencay,G
1487,Annon,D
1488,Annon,D
1489,Roquefort,E
1490,Cheddar,F
1491,Camenbert,F
1492,Cheddar,D
1493,Ricotta,A
1494,Ricotta,F
1495,Ricotta,B
1496,Roquefort,B
1497,Brie,C
1498,Ricotta,E
1499,Annon,H
1500,Brie,D
1501,Ricotta,G
1502,Camenbert,H
1503,Annon,B
1504,Gorgonzola,B
1505,Camenbert,F
1506,Brie,A
1507,Valencay,E
1508,Brie,G
1509,Valencay,C
1510,Annon,E
1511,Cheddar,C
1512,Annon,H
1513,Gorgonzola,C
1514,Valencay,H
1515,Valencay,B
1516,Valencay,C
1517,Roquefort,D
1518,Valencay,D
1519,Ricotta,B
1520,Roquefort,F
1521,Cheddar,D
1522,Camenbert,A
1523,Roquefort,F
1524,Brie,H
1525,Valencay,A
1526,Roquefort,F
1527,Gorgonzola,D
1528,Roquefort,F
1529,Roquefort,B
1530,Valencay,E
1531,Gorgonzola,F
1532,Camenbert,F
1533,Gorgonzola,D
1534,Gorgonzola,E
1535,Annon,H
1536,Ricotta,C
1537,Camenbert,E
1538,Brie,E
1539,Cheddar,H
1540,Cheddar,B
1541,Valencay,F
1542,Gorgonzola,E
1543,Ricotta,C
1544,Valencay,E
1545,,F
1546,Camenbert,C
1547,Cheddar,D
1548,Annon,D
1549,Gorgonzola,B
1550,Valencay,A
1551,Roquefort,D
1552,Valencay,E
1553,Gorgonzola,G
1554,Valencay,F
1555,Ricotta,E
1556,Cheddar,E
1557,Roquefort,E
1558,Ricotta,H
1559,Ricotta,A
1560,Ricotta,E
1561,Ricotta,D
1562,Cheddar,H
1563,Brie,D
1564,Roquefort,B
1565,Valencay,F
1566,Gorgonzola,D
1567,Cheddar,D
1568,Gorgonzola,D
1569,Ricotta,D
1570,Roquefort,C
1571,Cheddar,G
1572,Annon,H
1573,Camenbert,C
1574,Annon,A
1575,Valencay,F
1576,Annon,C
1577,Valencay,A
1578,Cheddar,C
1579,Ricotta,B
1580,Roquefort,A
1581,Valencay,F
1582,Annon,H
1583,Brie,G
1584,Camenbert,B
1585,Annon,F
1586,Annon,D
1587,Brie,C
1588,Brie,D
1589,Roquefort,H
1590,Ricotta,A
1591,Valencay,C
1592,Annon,G
1593,Annon,D
1594,Ricotta,B
1595,Camenbert,D
1596,Roquefort,H
1597,Ricotta,G
1598,Gorgonzola,B
1599,Valencay,B
1600,Valencay,B
1601,Gorgonzola,H
1602,Cheddar,A
1603,Gorgonzola,E
1604,Cheddar,F
1605,Valencay,G
1606,Gorgonzola,D
1607,Cheddar,D
1608,Camenbert,B
1609,Ricotta,A
1610,Valencay,D
1611,Brie,E
1612,Ricotta,D
1613,Cheddar,A
1614,Roquefort,C
1615,Gorgonzola,B
1616,Roquefort,C
1617,Cheddar,B
1618,Camenbert,B
1619,Camenbert,H
1620,Ricotta,H
1621,Roquefort,D
1622,Annon,C
1623,Roquefort,C
1624,Valencay,A
1625,Valencay,F
1626,Gorgonzola,G
1627,Valencay,D
1628,Gorgonzola,H
1629,Valencay,C
1630,Valencay,D
1631,Valencay,C
1632,Valencay,H
1633,Cheddar,E
1634,Gorgonzola,D
1635,Gorgonzola,D
1636,Annon,C
1637,Gorgonzola,B
1638,Gorgonzola,B
1639,Gorgonzola,E
1640,Roquefort,F
1641,Annon,B
1642,Ricotta,F
1643,Brie,C
1644,Cheddar,D
1645,Ricotta,E
1646,Brie,F
1647,Ricotta,C
1648,Brie,F
1649,Ricotta,E
1650,Valencay,A
1651,Annon,H
1652,Cheddar,B
1653,Valencay,B
1654,Ricotta,A
1655,Ricotta,H
1656,Gorgonzola,E
1657,Annon,E
1658,Roquefort,D
1659,Camenbert,D
1660,Ricotta,D
1661,Roquefort,D
1662,Annon,E
1663,Gorgonzola,B
1664,Roquefort,E
1665,Brie,G
1666,Ricotta,E
1667,Valencay,F
1668,Annon,F
1669,Camenbert,A
1670,Ricotta,F
1671,Roquefort,D
1672,Brie,F
1673,Cheddar,B
1674,Ricotta,A
1675,Ricotta,G
1676,Annon,G
1677,Cheddar,C
1678,Cheddar,D
1679,Valencay,F
1680,Gorgonzola,F
1681,Valencay,G
1682,Camenbert,E
1683,Annon,G
1684,Valencay,F
1685,Camenbert,F
1686,Brie,E
1687,Roquefort,G
1688,Camenbert,H
1689,Ricotta,B
1690,Brie,F
1691,Ricotta,E
1692,Cheddar,D
1693,Gorgonzola,E
1694,Cheddar,H
1695,Brie,E
1696,Valencay,F
1697,Roquefort,A
1698,Annon,B
1699,Ricotta,E
1700,Annon,A
1701,Annon,A
1702,Camenbert,D
1703,Gorgonzola,E
1704,Camenbert,F
1705,Camenbert,G
1706,Gorgonzola,D
1707,Ricotta,D
1708,Cheddar,A
1709,Roquefort,G
1710,,E
1711,Brie,E
1712,Cheddar,D
1713,Roquefort,C
1714,Ricotta,D
1715,Brie,H
1716,Camenbert,G
1717,Roquefort,B
1718,Annon,F
1719,Cheddar,B
1720,Cheddar,C
1721,Roquefort,H
1722,Valencay,F
1723,Cheddar,H
1724,Camenbert,D
1725,Cheddar,F
1726,Annon,A
1727,Cheddar,G
1728,Ricotta,B
1729,Valencay,A
1730,Roquefort,E
1731,Roquefort,C
1732,Gorgonzola,G
1733,Annon,B
1734,Roquefort,E
1735,Annon,E
1736,Gorgonzola,B
1737,Roquefort,A
1738,Valencay,H
1739,Ricotta,E
1740,Ricotta,B
1741,Roquefort,F
1742,Cheddar,D
1743,Cheddar,A
1744,Valencay,G
1745,Cheddar,B
1746,Brie,E
1747,Gorgonzola,C
1748,Annon,H
1749,Roquefort,G
1750,Annon,B
1751,Annon,C
1752,Ricotta,F
1753,Valencay,C
1754,Camenbert,B
1755,Annon,C
1756,Brie,D
1757,Annon,A
1758,Gorgonzola,C
1759,Valencay,B
1760,Ricotta,A
1761,Ricotta,F
1762,Roquefort,A
1763,Annon,F
1764,Annon,E
1765,Valencay,G
1766,Gorgonzola,F
1767,Annon,C
1768,Valencay,D
1769,Valencay,F
1770,Annon,E
1771,Brie,G
1772,Annon,B
1773,Cheddar,D
1774,Gorgonzola,D
1775,Annon,H
1776,Valencay,G
1777,Brie,D
1778,Brie,B
1779,Camenbert,C
1780,Valencay,B
1781,Ricotta,C
1782,Roquefort,D
1783,Gorgonzola,A
1784,Ricotta,H
1785,Camenbert,G
1786,Cheddar,B
1787,Brie,B
1788,Camenbert,E
1789,Ricotta,G
1790,Annon,D
1791,Roquefort,A
1792,Valencay,F
1793,Camenbert,G
1794,Brie,E
1795,Gorgonzola,E
1796,Ricotta,D
1797,Annon,E
1798,Gorgonzola,G
1799,Ricotta,F
1800,Roquefort,E
1801,Annon,E
1802,Annon,C
1803,Cheddar,C
1804,Brie,E
1805,Camenbert,C
1806,Roquefort,A
1807,Gorgonzola,B
1808,Camenbert,A
1809,Roquefort,H
1810,Cheddar,D
1811,Ricotta,B
1812,Valencay,C
1813,Annon,E
1814,Valencay,E
1815,Valencay,E
1816,Roquefort,G
1817,Valencay,E
1818,Brie,B
1819,Brie,A
1820,Gorgonzola,H
1821,Camenbert,D
1822,Gorgonzola,G
1823,Camenbert,E
1824,Annon,A
1825,Ricotta,D
1826,Camenbert,G
1827,Ricotta,G
1828,Brie,G
1829,Annon,B
1830,Cheddar,H
1831,Camenbert,H
1832,Roquefort,D
1833,Camenbert,C
1834,Ricotta,H
1835,Gorgonzola,C
1836,Cheddar,D
1837,Brie,D
1838,Roquefort,F
1839,Camenbert,D
1840,Annon,A
1841,Camenbert,C
1842,Camenbert,C
1843,Valencay,E
1844,Brie,B
1845,Gorgonzola,C
1846,Annon,D
1847,Ricotta,C
1848,Ricotta,H
1849,Valencay,E
1850,Valencay,H
1851,Valencay,A
1852,Roquefort,B
1853,Ricotta,E
1854,Roquefort,A
1855,Roquefort,F
1856,Valencay,H
1857,Roquefort,D
1858,Roquefort,D
1859,Brie,D
1860,Annon,G
1861,Annon,B
1862,Cheddar,D
1863,Roquefort,G
1864,Camenbert,D
1865,Ricotta,F
1866,Brie,G
1867,Camenbert,F
1868,Cheddar,B
1869,Valencay,F
1870,Gorgonzola,F
1871,Cheddar,D
1872,Camenbert,D
1873,Cheddar,G
1874,Roquefort,E
1875,Camenbert,G
1876,Ricotta,G
1877,Cheddar,G
1878,Roquefort,G
1879,Camenbert,E
1880,Roquefort,H
1881,Brie,A
1882,Roquefort,B
1883,Roquefort,F
1884,Brie,D
1885,Ricotta,C
1886,Annon,D
1887,Camenbert,E
1888,Brie,E
1889,Valencay,B
1890,Brie,H
1891,Valencay,F
1892,Valencay,E
1893,Ricotta,A
1894,Valencay,G
1895,Cheddar,C
1896,Camenbert,E
1897,Annon,D
1898,Cheddar,D
1899,Camenbert,H
1900,Gorgonzola,C
1901,Ricotta,D
1902,Ricotta,F
1903,Valencay,D
1904,Gorgonzola,E
1905,Annon,A
1906,Camenbert,F
1907,Brie,B
1908,Annon,G
1909,Brie,C
1910,Annon,D
1911,Annon,A
1912,Camenbert,A
1913,Camenbert,C
1914,Valencay,F
1915,Ricotta,E
1916,Valencay,C
1917,,G
1918,Cheddar,C
1919,Valencay,D
1920,Brie,A
1921,Annon,C
1922,Annon,E
1923,Roquefort,B
1924,Annon,F
1925,Roquefort,F
1926,Gorgonzola,E
1927,Brie,D
1928,Gorgonzola,F
1929,Roquefort,E
1930,Cheddar,G
1931,Ricotta,C
1932,Cheddar,D
1933,Cheddar,B
1934,Valencay,H
1935,Cheddar,E
1936,Roquefort,A
1937,Cheddar,D
1938,Cheddar,B
1939,Roquefort,B
1940,Brie,E
1941,Cheddar,G
1942,Camenbert,C
1943,Gorgonzola,C
1944,Roquefort,E
1945,Cheddar,B
1946,Camenbert,D
1947,Brie,D
1948,Ricotta,F
1949,Roquefort,H
1950,Gorgonzola,G
1951,Camenbert,E
1952,Cheddar,E
1953,Ricotta,E
1954,Gorgonzola,A
1955,Roquefort,H
1956,Cheddar,B
1957,Valencay,D
1958,Brie,G
1959,Brie,F
1960,Annon,C
1961,Cheddar,D
1962,Gorgonzola,C
1963,Roquefort,A
1964,Camenbert,B
1965,Annon,C
1966,Annon,B
1967,Ricotta,E
1968,Brie,A
1969,Gorgonzola,G
1970,Brie,H
1971,Gorgonzola,C
1972,Gorgonzola,A
1973,Ricotta,B
1974,Cheddar,B
1975,Cheddar,D
1976,Cheddar,G
1977,Brie,F
1978,Camenbert,D
1979,Gorgonzola,H
1980,Brie,C
1981,Valencay,B
1982,Annon,A
1983,Brie,B
1984,Roquefort,A
1985,Cheddar,E
1986,Valencay,C
1987,Brie,B
1988,Roquefort,F
1989,Cheddar,G
1990,Annon,D
1991,Cheddar,E
1992,Annon,H
1993,Cheddar,E
1994,Roquefort,E
1995,Cheddar,G
1996,Annon,E
1997,Gorgonzola,F
1998,Cheddar,D
1999,Roquefort,B
2000,Gorgonzola,D
2001,Brie,E
2002,Brie,D
2003,Roquefort,C
2004,Valencay,B
2005,Annon,D
2006,Camenbert,G
2007,Ricotta,B
2008,Gorgonzola,C
2009,Ricotta,G
2010,Brie,A
2011,Gorgonzola,H
2012,Roquefort,E
2013,Roquefort,C
2014,Cheddar,D
2015,Cheddar,D
2016,Camenbert,C
2017,Valencay,E
2018,Annon,C
2019,Valencay,C
2020,Ricotta,B
2021,Ricotta,A
2022,Ricotta,A
2023,Ricotta,G
2024,Ricotta,G
2025,Camenbert,G
2026,Valencay,F
2027,Valencay,D
2028,Annon,B
2029,Camenbert,B
2030,Cheddar,H
2031,Roquefort,E
2032,Camenbert,C
2033,Valencay,D
2034,Brie,D
2035,Valencay,B
2036,Camenbert,B
2037,Camenbert,D
2038,Camenbert,D
2039,Ricotta,E
2040,Roquefort,C
2041,Roquefort,F
2042,Ricotta,D
2043,Roquefort,E
2044,Camenbert,D
2045,Brie,D
2046,Valencay,H
2047,Brie,B
2048,Roquefort,E
2049,Brie,D
2050,Gorgonzola,H
2051,Gorgonzola,F
2052,Cheddar,B
2053,Annon,G
2054,Annon,C
2055,Valencay,B
2056,Roquefort,C
2057,Annon,B
2058,Ricotta,G
2059,Annon,F
2060,Valencay,G
2061,Brie,G
2062,Annon,E
2063,Camenbert,E
2064,Ricotta,B
2065,Cheddar,E
2066,Camenbert,C
2067,Brie,G
2068,Gorgonzola,H
2069,Roquefort,G
2070,Cheddar,C
2071,Cheddar,C
2072,Camenbert,H
2073,Ricotta,E
2074,Annon,E
2075,Brie,D
2076,Brie,G
2077,Annon,G
2078,Valencay,F
2079,Ricotta,E
2080,Gorgonzola,B
2081,Ricotta,F
2082,Ricotta,H
2083,Gorgonzola,C
2084,Ricotta,E
2085,Roquefort,B
2086,Valencay,F
2087,Roquefort,D
2088,Annon,D
2089,Roquefort,H
2090,Annon,H
2091,Roquefort,D
2092,Gorgonzola,E
2093,Roquefort,C
2094,Ricotta,B
2095,Camenbert,B
2096,Camenbert,E
2097,Roquefort,D
2098,Camenbert,F
2099,Camenbert,H
2100,Annon,E
2101,Camenbert,A
2102,Gorgonzola,D
2103,Camenbert,G
2104,Valencay,E
2105,Roquefort,D
2106,Ricotta,E
2107,Valencay,C
2108,Cheddar,G
2109,Roquefort,H
2110,Cheddar,E
2111,Ricotta,D
2112,Roquefort,E
2113,Valencay,D
2114,Ricotta,G
2115,Brie,A
2116,Annon,C
2117,Valencay,E
2118,Roquefort,A
2119,Cheddar,A
2120,Roquefort,H
2121,Annon,E
2122,Ricotta,A
2123,Roquefort,G
2124,Annon,B
2125,Camenbert,A
2126,Camenbert,F
2127,Ricotta,F
2128,Camenbert,D
2129,Roquefort,H
2130,Cheddar,F
2131,Cheddar,G
2132,Camenbert,H
2133,Roquefort,A
2134,Valencay,F
2135,Gorgonzola,C
2136,Ricotta,E
2137,Ricotta,D
2138,Brie,H
2139,Ricotta,D
2140,Roquefort,C
2141,Cheddar,C
2142,Ricotta,E
2143,Gorgonzola,A
2144,,F
2145,Ricotta,B
2146,Annon,B
2147,Gorgonzola,B
2148,Roquefort,C
2149,Annon,E
2150,Gorgonzola,G
2151,Gorgonzola,G
2152,Annon,G
2153,Camenbert,H
2154,Valencay,D
2155,Ricotta,D
2156,Ricotta,A
2157,Cheddar,D
2158,Gorgonzola,D
2159,Camenbert,D
2160,Annon,D
2161,Roquefort,G
2162,Annon,B
2163,Brie,F
2164,Ricotta,G
2165,Annon,F
2166,Brie,A
2167,Roquefort,E
2168,Annon,D
2169,Annon,D
2170,Annon,B
2171,Ricotta,F
2172,Brie,A
2173,Annon,G
2174,Gorgonzola,A
2175,Annon,F
2176,Valencay,F
2177,Cheddar,D
2178,Cheddar,G
2179,Gorgonzola,C
2180,Valencay,E
2181,Camenbert,B
2182,Gorgonzola,B
2183,Valencay,H
2184,Gorgonzola,H
2185,Roquefort,A
2186,Valencay,F
2187,Roquefort,E
2188,Roquefort,B
2189,Valencay,G
2190,Camenbert,D
2191,Annon,G
2192,Camenbert,H
2193,Roquefort,H
2194,Brie,E
2195,Cheddar,B
2196,Annon,B
2197,Ricotta,B
2198,Roquefort,C
2199,Gorgonzola,E
2200,Brie,A
2201,Cheddar,H
2202,Camenbert,C
2203,Valencay,E
2204,Annon,C
2205,Gorgonzola,F
2206,Valencay,E
2207,Cheddar,E
2208,Roquefort,D
2209,Camenbert,A
2210,Roquefort,B
2211,Cheddar,C
2212,Camenbert,B
2213,Cheddar,E
2214,Roquefort,F
2215,Brie,E
2216,Brie,B
2217,Gorgonzola,C
2218,Cheddar,D
2219,Brie,G
2220,Annon,H
2221,Roquefort,D
2222,Cheddar,E
2223,Annon,D
2224,Camenbert,E
2225,Cheddar,D
2226,Ricotta,H
2227,Ricotta,D
2228,Camenbert,B
2229,Annon,A
2230,Valencay,G
2231,Camenbert,H
2232,Ricotta,G
2233,Brie,C
2234,Brie,E
2235,Annon,H
2236,Annon,B
2237,Roquefort,A
2238,Roquefort,B
2239,Cheddar,D
2240,Gorgonzola,C
2241,Valencay,G
2242,Gorgonzola,E
2243,Camenbert,G
2244,Annon,E
2245,Cheddar,E
2246,Roquefort,H
2247,Brie,F
2248,Camenbert,A
2249,Valencay,B
2250,Camenbert,A
2251,Gorgonzola,G
2252,Annon,B
2253,Ricotta,H
2254,Valencay,A
2255,Annon,C
2256,Brie,G
2257,Ricotta,D
2258,Roquefort,E
2259,Camenbert,D
2260,Camenbert,B
2261,Brie,E
2262,Roquefort,D
2263,Camenbert,G
2264,Roquefort,D
2265,Valencay,E
2266,Ricotta,B
2267,Brie,B
2268,Ricotta,A
2269,Valencay,F
2270,Annon,D
2271,Cheddar,H
2272,Roquefort,A
2273,Roquefort,F
2274,Camenbert,D
2275,Annon,E
2276,Cheddar,B
2277,Roquefort,C
2278,Ricotta,B
2279,Roquefort,B
2280,Camenbert,E
2281,Ricotta,A
2282,Cheddar,C
2283,Valencay,G
2284,Annon,E
2285,Annon,B
2286,Annon,E
2287,Ricotta,B
2288,Gorgonzola,A
2289,Valencay,G
2290,Brie,D
2291,Valencay,F
2292,Valencay,E
2293,Annon,G
2294,Brie,E
2295,Ricotta,C
2296,Valencay,E
2297,Roquefort,E
2298,Roquefort,F
2299,Gorgonzola,H
2300,Cheddar,B
2301,Camenbert,C
2302,Ricotta,G
2303,Annon,G
2304,Ricotta,A
2305,Valencay,D
2306,Roquefort,D
2307,Ricotta,E
2308,Gorgonzola,E
2309,Valencay,A
2310,Valencay,F
2311,Gorgonzola,A
2312,Brie,D
2313,Cheddar,E
2314,Cheddar,B
2315,Camenbert,C
2316,Annon,B
2317,Annon,E
2318,Camenbert,B
2319,Roquefort,E
2320,Ricotta,D
2321,Camenbert,H
2322,Roquefort,G
2323,Gorgonzola,D
2324,Cheddar,E
2325,Annon,E
2326,Annon,H
2327,Annon,F
2328,Ricotta,A
2329,Ricotta,F
2330,Valencay,A
2331,Camenbert,B
2332,Valencay,B
2333,Roquefort,H
2334,Camenbert,D
2335,Annon,G
2336,Brie,F
2337,Gorgonzola,E
2338,Gorgonzola,D
2339,Gorgonzola,A
2340,Ricotta,D
2341,Cheddar,D
2342,Roquefort,G
2343,Ricotta,E
2344,Roquefort,E
2345,Ricotta,D
2346,Camenbert,G
2347,Cheddar,C
2348,Valencay,D
2349,Ricotta,D
2350,Annon,B
2351,Valencay,D
2352,Gorgonzola,E
2353,Ricotta,G
2354,Roquefort,H
2355,Valencay,C
2356,Ricotta,G
2357,Ricotta,D
2358,Valencay,D
2359,Valencay,A
2360,Ricotta,H
2361,Camenbert,E
2362,Cheddar,E
2363,Camenbert,H
2364,Camenbert,D
2365,Camenbert,E
2366,Annon,F
2367,Gorgonzola,D
2368,Roquefort,A
2369,Gorgonzola,E
2370,Cheddar,B
2371,Ricotta,B
2372,Ricotta,H
2373,Cheddar,D
2374,Annon,E
2375,Gorgonzola,B
2376,Annon,B
2377,Ricotta,G
2378,Ricotta,E
2379,Gorgonzola,E
2380,Valencay,D
2381,Camenbert,A
2382,Gorgonzola,G
2383,Brie,C
2384,Camenbert,A
2385,Gorgonzola,E
2386,Gorgonzola,E
2387,Annon,C
2388,Gorgonzola,D
2389,Valencay,E
2390,Ricotta,C
2391,Brie,B
2392,Brie,F
2393,Camenbert,H
2394,Gorgonzola,D
2395,Valencay,G
2396,Camenbert,B
2397,Valencay,H
2398,Gorgonzola,D
2399,Gorgonzola,G
2400,Cheddar,C
2401,Valencay,E
2402,Ricotta,B
2403,Cheddar,E
2404,Annon,C
2405,Annon,A
2406,Valencay,E
2407,Ricotta,D
2408,,D
2409,Cheddar,D
2410,Valencay,B
2411,Ricotta,G
2412,Ricotta,F
2413,Ricotta,D
2414,Cheddar,D
2415,Cheddar,D
2416,Cheddar,E
2417,Gorgonzola,E
2418,Annon,G
2419,Gorgonzola,G
2420,Brie,H
2421,Ricotta,C
2422,Roquefort,E
2423,Brie,F
2424,Cheddar,D
2425,Annon,F
2426,Cheddar,C
2427,Valencay,F
2428,Annon,C
2429,Gorgonzola,G
2430,Annon,D
2431,Cheddar,E
2432,Valencay,E
2433,Ricotta,G
2434,Cheddar,D
2435,Annon,C
2436,Cheddar,D
2437,Gorgonzola,D
2438,Cheddar,H
2439,Brie,C
2440,Annon,G
2441,Valencay,C
2442,Roquefort,B
2443,Brie,G
2444,Brie,A
2445,Camenbert,A
2446,Ricotta,E
2447,Valencay,A
2448,Brie,G
2449,Annon,H
2450,Annon,C
2451,Valencay,H
2452,Camenbert,G
2453,Roquefort,A
2454,Brie,F
2455,Gorgonzola,B
2456,Roquefort,G
2457,Brie,D
2458,Camenbert,B
2459,Brie,E
2460,Annon,E
2461,Cheddar,F
2462,Roquefort,B
2463,Ricotta,H
2464,Roquefort,H
2465,Valencay,A
2466,Annon,C
2467,Ricotta,D
2468,Valencay,C
2469,Ricotta,B
2470,Annon,F
2471,Camenbert,E
2472,Ricotta,A
2473,Roquefort,D
2474,Brie,F
2475,Roquefort,H
2476,Valencay,D
2477,Cheddar,A
2478,Camenbert,E
2479,Gorgonzola,D
2480,Valencay,H
2481,Annon,F
2482,Camenbert,D
2483,Gorgonzola,C
2484,Camenbert,D
2485,Gorgonzola,E
2486,Cheddar,B
2487,Cheddar,A
2488,Cheddar,E
2489,Valencay,H
2490,Brie,B
2491,Annon,D
2492,Cheddar,E
2493,Roquefort,D
2494,Gorgonzola,A
2495,Ricotta,F
2496,Camenbert,C
2497,Annon,E
2498,Camenbert,C
2499,Annon,F
2500,Roquefort,A
2501,Roquefort,G
2502,Roquefort,D
2503,Valencay,D
2504,Brie,D
2505,Roquefort,C
2506,Roquefort,H
2507,Roquefort,B
2508,Ricotta,H
2509,Cheddar,G
2510,Brie,D
2511,Gorgonzola,C
2512,Cheddar,E
2513,Valencay,H
2514,Valencay,H
2515,Valencay,B
2516,Brie,F
2517,Valencay,D
2518,Camenbert,F
2519,Valencay,B
2520,Gorgonzola,H
2521,Brie,B
2522,Annon,A
2523,Cheddar,H
2524,Ricotta,G
2525,Cheddar,B
2526,Brie,E
2527,Annon,H
2528,Annon,G
2529,Cheddar,C
2530,Valencay,D
2531,Camenbert,H
2532,Ricotta,B
2533,Gorgonzola,F
2534,Brie,G
2535,Cheddar,C
2536,Cheddar,E
2537,Gorgonzola,B
2538,Gorgonzola,D
2539,Valencay,F
2540,Cheddar,C
2541,Roquefort,F
2542,Ricotta,E
2543,Camenbert,D
2544,Ricotta,F
2545,Cheddar,B
2546,Gorgonzola,D
2547,Cheddar,G
2548,Annon,E
2549,Annon,C
2550,Camenbert,H
2551,,C
2552,Gorgonzola,F
2553,Camenbert,G
2554,Valencay,F
2555,Brie,D
2556,Camenbert,D
2557,Cheddar,F
2558,Cheddar,C
2559,Camenbert,H
2560,Ricotta,A
2561,Ricotta,E
2562,Ricotta,C
2563,Roquefort,H
2564,Ricotta,C
2565,Brie,G
2566,Cheddar,D
2567,Valencay,E
2568,Valencay,C
2569,Cheddar,C
2570,Annon,E
2571,Ricotta,G
2572,Camenbert,E
2573,Roquefort,D
2574,Camenbert,D
2575,Valencay,C
2576,Roquefort,A
2577,Brie,F
2578,Gorgonzola,A
2579,Cheddar,C
2580,Valencay,E
2581,Annon,B
2582,Gorgonzola,A
2583,Gorgonzola,C
2584,Ricotta,A
2585,Brie,A
2586,Brie,E
2587,Gorgonzola,B
2588,Ricotta,F
2589,Roquefort,H
2590,Annon,C
2591,Brie,D
2592,Roquefort,H
2593,Brie,D
2594,Cheddar,A
2595,Roquefort,A
2596,Ricotta,H
2597,Annon,F
2598,Annon,H
2599,Ricotta,D
2600,Gorgonzola,E
2601,Camenbert,B
2602,Ricotta,G
2603,Brie,E
2604,Valencay,C
2605,Annon,D
2606,Gorgonzola,H
2607,Valencay,G
2608,Ricotta,C
2609,Gorgonzola,C
2610,Cheddar,C
2611,Valencay,F
2612,Valencay,B
2613,Annon,D
2614,Gorgonzola,D
2615,Gorgonzola,B
2616,,D
2617,Cheddar,C
2618,Cheddar,D
2619,Valencay,G
2620,Valencay,C
2621,Camenbert,B
2622,Brie,H
2623,Camenbert,A
2624,Brie,G
2625,Ricotta,A
2626,Cheddar,H
2627,Brie,G
2628,Cheddar,A
2629,Gorgonzola,B
2630,Brie,D
2631,Cheddar,D
2632,Ricotta,H
2633,Valencay,C
2634,Cheddar,F
2635,Brie,C
2636,Valencay,D
2637,Roquefort,E
2638,Valencay,C
2639,Annon,E
2640,Gorgonzola,D
2641,Ricotta,G
2642,Brie,F
2643,Roquefort,H
2644,Gorgonzola,H
2645,Cheddar,H
2646,Gorgonzola,A
2647,Gorgonzola,G
2648,Roquefort,B
2649,Roquefort,D
2650,Brie,F
2651,Cheddar,G
2652,Cheddar,C
2653,Camenbert,F
2654,Annon,E
2655,Roquefort,G
2656,Cheddar,C
2657,Gorgonzola,F
2658,Brie,E
2659,Gorgonzola,D
2660,Valencay,C
2661,Roquefort,A
2662,Roquefort,C
2663,Brie,D
2664,Gorgonzola,D
2665,Gorgonzola,B
2666,Valencay,D
2667,Camenbert,B
2668,Ricotta,A
2669,Valencay,E
2670,Cheddar,D
2671,Annon,D
2672,Gorgonzola,B
2673,Valencay,G
2674,Camenbert,A
2675,Roquefort,E
2676,Valencay,D
2677,Annon,F
2678,Camenbert,A
2679,Camenbert,G
2680,Camenbert,G
2681,Roquefort,E
2682,Gorgonzola,G
2683,Annon,C
2684,Brie,C
2685,Roquefort,A
2686,Valencay,F
2687,Valencay,D
2688,Brie,G
2689,Ricotta,B
2690,Gorgonzola,D
2691,Camenbert,C
2692,Valencay,B
2693,Ricotta,B
2694,Brie,H
2695,Camenbert,B
2696,Brie,C
2697,Camenbert,E
2698,Gorgonzola,G
2699,Ricotta,D
2700,Roquefort,C
2701,Roquefort,D
2702,Roquefort,H
2703,Ricotta,E
2704,Camenbert,C
2705,Cheddar,B
2706,Cheddar,F
2707,Ricotta,E
2708,Gorgonzola,H
2709,Brie,B
2710,Gorgonzola,D
2711,Valencay,E
2712,Annon,E
2713,Valencay,D
2714,Camenbert,D
2715,Annon,B
2716,Brie,C
2717,Camenbert,E
2718,Brie,E
2719,Ricotta,B
2720,Brie,E
2721,Annon,G
2722,Valencay,A
2723,Roquefort,C
2724,Ricotta,A
2725,Gorgonzola,G
2726,Cheddar,F
2727,Camenbert,A
2728,Brie,C
2729,Cheddar,B
2730,Camenbert,B
2731,Brie,C
2732,Cheddar,G
2733,Brie,B
2734,Valencay,C
2735,Gorgonzola,G
2736,Ricotta,C
2737,Roquefort,F
2738,Cheddar,D
2739,Roquefort,B
2740,Camenbert,A
2741,Gorgonzola,E
2742,Gorgonzola,E
2743,Camenbert,C
2744,Cheddar,G
