seq,prefer,frequency,wineFrequency
2571,±Ì¿Ã∞®,2,1
2572,¥Áµµ,1,1
2573,±Ì¿Ã∞®,2,1
2574,¥Áµµ,2,1
2575,±Ì¿Ã∞®,2,1
2576,±Ì¿Ã∞®,2,1
2577,¥Áµµ,2,1
2578,¥Áµµ,6,3
2579,¥Áµµ,0,0
2580,±Ì¿Ã∞®,1,1
2581,¥Áµµ,4,2
2582,±Ì¿Ã∞®,1,1
2583,±Ì¿Ã∞®,2,1
2584,±Ì¿Ã∞®,3,2
2585,¥Áµµ,2,1
2586,¥Áµµ,4,2
2587,±Ì¿Ã∞®,3,2
2588,±Ì¿Ã∞®,3,1
2589,¥Áµµ,1,1
2590,±Ì¿Ã∞®,2,1
2591,±Ì¿Ã∞®,3,1
2592,±Ì¿Ã∞®,2,1
2593,±Ì¿Ã∞®,5,4
2594,±Ì¿Ã∞®,3,1
2595,¥Áµµ,3,1
2596,±Ì¿Ã∞®,1,1
2597,±Ì¿Ã∞®,3,1
2598,¥Áµµ,5,4
2599,±Ì¿Ã∞®,1,1
2600,±Ì¿Ã∞®,2,1
2601,¥Áµµ,3,1
2602,¥Áµµ,2,1
2603,±Ì¿Ã∞®,5,3
2604,¥Áµµ,2,1
2605,¥Áµµ,1,1
2606,¥Áµµ,1,1
2607,¥Áµµ,2,1
2608,±Ì¿Ã∞®,2,1
2609,±Ì¿Ã∞®,4,1
2610,±Ì¿Ã∞®,1,1
2611,±Ì¿Ã∞®,2,1
2612,±Ì¿Ã∞®,1,1
2613,±Ì¿Ã∞®,3,2
2614,¥Áµµ,2,1
2615,¥Áµµ,3,1
2616,±Ì¿Ã∞®,3,1
2617,±Ì¿Ã∞®,0,0
2618,¥Áµµ,3,1
2619,±Ì¿Ã∞®,3,1
2620,¥Áµµ,5,1
2621,¥Áµµ,3,1
2622,±Ì¿Ã∞®,2,1
2623,±Ì¿Ã∞®,2,1
2624,¥Áµµ,2,1
2625,±Ì¿Ã∞®,2,1
2626,±Ì¿Ã∞®,2,1
2627,±Ì¿Ã∞®,2,1
2628,±Ì¿Ã∞®,2,1
2629,±Ì¿Ã∞®,3,2
2630,±Ì¿Ã∞®,1,1
2631,¥Áµµ,4,2
2632,¥Áµµ,2,1
2633,±Ì¿Ã∞®,1,1
2634,¥Áµµ,4,3
2635,±Ì¿Ã∞®,3,2
2636,¥Áµµ,2,1
2637,±Ì¿Ã∞®,2,1
2638,±Ì¿Ã∞®,3,2
2639,¥Áµµ,3,1
2640,±Ì¿Ã∞®,1,1
2641,±Ì¿Ã∞®,2,1
2642,¥Áµµ,4,1
2643,±Ì¿Ã∞®,2,1
2644,±Ì¿Ã∞®,4,2
2645,±Ì¿Ã∞®,3,1
2646,¥Áµµ,1,1
2647,±Ì¿Ã∞®,2,1
2648,±Ì¿Ã∞®,3,1
2649,¥Áµµ,3,1
2650,¥Áµµ,3,2
2651,±Ì¿Ã∞®,1,1
2652,¥Áµµ,3,1
2653,±Ì¿Ã∞®,4,2
2654,¥Áµµ,1,1
2655,±Ì¿Ã∞®,2,1
2656,¥Áµµ,3,1
2657,±Ì¿Ã∞®,4,3
2658,±Ì¿Ã∞®,2,1
2659,¥Áµµ,3,1
2660,¥Áµµ,1,1
2661,¥Áµµ,2,1
2662,¥Áµµ,3,2
2663,±Ì¿Ã∞®,2,1
2664,¥Áµµ,4,3
2665,±Ì¿Ã∞®,1,1
2666,±Ì¿Ã∞®,2,1
2667,¥Áµµ,5,2
2668,¥Áµµ,3,2
2669,¥Áµµ,1,1
2670,±Ì¿Ã∞®,1,1
2671,¥Áµµ,3,1
2672,¥Áµµ,3,2
2673,±Ì¿Ã∞®,1,1
2674,¥Áµµ,2,1
2675,±Ì¿Ã∞®,2,1
2676,±Ì¿Ã∞®,3,2
2677,¥Áµµ,2,1
2678,¥Áµµ,3,1
2679,±Ì¿Ã∞®,2,1
2680,¥Áµµ,2,1
2681,±Ì¿Ã∞®,2,1
2682,±Ì¿Ã∞®,3,2
2683,±Ì¿Ã∞®,4,1
2684,¥Áµµ,5,3
2685,¥Áµµ,2,1
2686,¥Áµµ,1,1
2687,±Ì¿Ã∞®,5,3
2688,±Ì¿Ã∞®,5,4
2689,¥Áµµ,3,1
2690,¥Áµµ,1,1
2691,±Ì¿Ã∞®,1,1
2692,¥Áµµ,2,1
2693,±Ì¿Ã∞®,2,1
2694,±Ì¿Ã∞®,3,2
2695,¥Áµµ,2,1
2696,¥Áµµ,3,1
2697,±Ì¿Ã∞®,3,1
2698,¥Áµµ,2,1
2699,¥Áµµ,3,2
2700,±Ì¿Ã∞®,1,1
2701,±Ì¿Ã∞®,2,1
2702,¥Áµµ,2,1
2703,±Ì¿Ã∞®,4,2
2704,±Ì¿Ã∞®,2,1
2705,¥Áµµ,3,2
2706,¥Áµµ,2,1
2707,±Ì¿Ã∞®,3,1
2708,±Ì¿Ã∞®,3,1
2709,¥Áµµ,2,1
2710,±Ì¿Ã∞®,2,1
2711,¥Áµµ,3,2
2712,¥Áµµ,2,1
2713,±Ì¿Ã∞®,1,1
2714,¥Áµµ,1,1
2715,¥Áµµ,3,2
2716,¥Áµµ,2,1
2717,¥Áµµ,5,4
2718,±Ì¿Ã∞®,2,1
2719,¥Áµµ,1,1
2720,±Ì¿Ã∞®,2,1
2721,¥Áµµ,3,2
2722,±Ì¿Ã∞®,2,1
2723,±Ì¿Ã∞®,5,4
2724,±Ì¿Ã∞®,3,2
2725,¥Áµµ,2,1
2726,±Ì¿Ã∞®,2,1
2727,¥Áµµ,2,1
2728,±Ì¿Ã∞®,2,1
2729,±Ì¿Ã∞®,2,1
2730,¥Áµµ,4,3
2731,±Ì¿Ã∞®,4,3
2732,±Ì¿Ã∞®,1,1
2733,¥Áµµ,1,1
2734,¥Áµµ,2,1
2735,±Ì¿Ã∞®,1,1
2736,¥Áµµ,2,1
2737,±Ì¿Ã∞®,2,1
2738,¥Áµµ,3,2
2739,¥Áµµ,1,1
2740,±Ì¿Ã∞®,3,2
2741,±Ì¿Ã∞®,3,2
2742,±Ì¿Ã∞®,3,2
2743,±Ì¿Ã∞®,2,1
2744,¥Áµµ,2,1
2745,±Ì¿Ã∞®,4,2
2746,¥Áµµ,2,1
2747,±Ì¿Ã∞®,3,2
2748,±Ì¿Ã∞®,4,3
2749,±Ì¿Ã∞®,2,1
2750,¥Áµµ,3,1
2751,¥Áµµ,3,1
2752,±Ì¿Ã∞®,3,2
2753,±Ì¿Ã∞®,4,2
2754,±Ì¿Ã∞®,2,1
2755,¥Áµµ,3,1
2756,±Ì¿Ã∞®,3,2
2757,±Ì¿Ã∞®,3,1
2758,¥Áµµ,3,2
2759,¥Áµµ,2,1
2760,¥Áµµ,3,2
2761,¥Áµµ,3,1
2762,±Ì¿Ã∞®,3,1
2763,¥Áµµ,1,1
2764,¥Áµµ,3,2
2765,¥Áµµ,4,1
2766,±Ì¿Ã∞®,3,1
2767,¥Áµµ,4,3
2768,±Ì¿Ã∞®,3,1
2769,¥Áµµ,3,1
2770,¥Áµµ,1,1
2771,¥Áµµ,2,1
2772,¥Áµµ,3,1
2773,¥Áµµ,2,1
2774,¥Áµµ,3,1
2775,¥Áµµ,2,1
2776,¥Áµµ,3,1
2777,±Ì¿Ã∞®,2,1
2778,±Ì¿Ã∞®,2,1
2779,¥Áµµ,4,3
2780,±Ì¿Ã∞®,2,1
2781,¥Áµµ,2,1
2782,±Ì¿Ã∞®,5,2
2783,±Ì¿Ã∞®,4,3
2784,±Ì¿Ã∞®,4,1
2785,±Ì¿Ã∞®,4,3
2786,¥Áµµ,1,1
2787,¥Áµµ,2,1
2788,¥Áµµ,1,1
2789,±Ì¿Ã∞®,1,1
2790,±Ì¿Ã∞®,2,1
2791,¥Áµµ,2,1
2792,¥Áµµ,3,2
2793,±Ì¿Ã∞®,4,2
2794,±Ì¿Ã∞®,1,1
2795,¥Áµµ,4,1
2796,±Ì¿Ã∞®,4,2
2797,±Ì¿Ã∞®,2,1
2798,±Ì¿Ã∞®,2,1
2799,¥Áµµ,1,1
2800,±Ì¿Ã∞®,4,1
2801,±Ì¿Ã∞®,1,1
2802,±Ì¿Ã∞®,5,4
2803,±Ì¿Ã∞®,1,1
2804,±Ì¿Ã∞®,2,1
2805,¥Áµµ,1,1
2806,¥Áµµ,3,1
2807,¥Áµµ,2,1
2808,±Ì¿Ã∞®,5,2
2809,±Ì¿Ã∞®,1,1
2810,±Ì¿Ã∞®,4,2
2811,±Ì¿Ã∞®,2,1
2812,±Ì¿Ã∞®,3,2
2813,¥Áµµ,2,1
2814,¥Áµµ,1,1
2815,¥Áµµ,2,1
2816,¥Áµµ,2,1
2817,¥Áµµ,5,1
2818,±Ì¿Ã∞®,4,1
2819,±Ì¿Ã∞®,3,2
2820,¥Áµµ,2,1
2821,±Ì¿Ã∞®,1,1
2822,±Ì¿Ã∞®,1,1
2823,¥Áµµ,1,1
2824,¥Áµµ,3,2
2825,±Ì¿Ã∞®,2,1
2826,±Ì¿Ã∞®,2,1
2827,¥Áµµ,2,1
2828,±Ì¿Ã∞®,4,3
2829,±Ì¿Ã∞®,2,1
2830,¥Áµµ,2,1
2831,¥Áµµ,1,1
2832,¥Áµµ,3,1
2833,¥Áµµ,4,2
2834,±Ì¿Ã∞®,3,1
2835,¥Áµµ,3,2
2836,±Ì¿Ã∞®,5,1
2837,±Ì¿Ã∞®,3,2
2838,±Ì¿Ã∞®,2,1
2839,±Ì¿Ã∞®,2,1
2840,±Ì¿Ã∞®,2,1
2841,¥Áµµ,2,1
2842,¥Áµµ,2,1
2843,¥Áµµ,3,2
2844,¥Áµµ,3,2
2845,¥Áµµ,3,1
2846,¥Áµµ,3,1
2847,¥Áµµ,2,1
2848,¥Áµµ,2,1
2849,±Ì¿Ã∞®,2,1
2850,±Ì¿Ã∞®,1,1
2851,¥Áµµ,2,1
2852,±Ì¿Ã∞®,5,2
2853,¥Áµµ,3,2
2854,±Ì¿Ã∞®,2,1
2855,±Ì¿Ã∞®,2,1
2856,¥Áµµ,3,1
2857,¥Áµµ,2,1
2858,±Ì¿Ã∞®,3,2
2859,¥Áµµ,3,2
2860,¥Áµµ,2,1
2861,±Ì¿Ã∞®,2,1
2862,¥Áµµ,1,1
2863,±Ì¿Ã∞®,2,1
2864,±Ì¿Ã∞®,1,1
2865,¥Áµµ,3,2
2866,¥Áµµ,4,1
2867,¥Áµµ,3,1
2868,±Ì¿Ã∞®,2,1
2869,±Ì¿Ã∞®,4,3
2870,±Ì¿Ã∞®,1,1
2871,¥Áµµ,2,1
2872,±Ì¿Ã∞®,2,1
2873,±Ì¿Ã∞®,2,1
2874,±Ì¿Ã∞®,2,1
2875,¥Áµµ,3,1
2876,¥Áµµ,2,1
2877,¥Áµµ,3,1
2878,¥Áµµ,1,1
2879,¥Áµµ,2,1
2880,±Ì¿Ã∞®,3,1
2881,±Ì¿Ã∞®,2,1
2882,±Ì¿Ã∞®,1,1
2883,¥Áµµ,3,1
2884,±Ì¿Ã∞®,2,1
2885,±Ì¿Ã∞®,3,1
2886,±Ì¿Ã∞®,1,1
2887,¥Áµµ,1,1
2888,¥Áµµ,4,2
2889,¥Áµµ,3,1
2890,±Ì¿Ã∞®,4,1
2891,¥Áµµ,2,1
2892,¥Áµµ,2,1
2893,±Ì¿Ã∞®,3,1
2894,±Ì¿Ã∞®,1,1
2895,¥Áµµ,3,2
2896,±Ì¿Ã∞®,3,1
2897,¥Áµµ,2,1
2898,±Ì¿Ã∞®,1,1
2899,±Ì¿Ã∞®,4,1
2900,¥Áµµ,2,1
2901,±Ì¿Ã∞®,3,1
2902,¥Áµµ,4,5
2903,¥Áµµ,3,1
2904,±Ì¿Ã∞®,1,1
2905,±Ì¿Ã∞®,3,2
2906,±Ì¿Ã∞®,3,2
2907,±Ì¿Ã∞®,3,1
2908,¥Áµµ,4,2
2909,±Ì¿Ã∞®,2,1
2910,¥Áµµ,1,1
2911,¥Áµµ,3,1
2912,±Ì¿Ã∞®,3,2
2913,±Ì¿Ã∞®,4,1
2914,±Ì¿Ã∞®,3,2
2915,±Ì¿Ã∞®,3,2
2916,±Ì¿Ã∞®,5,4
2917,¥Áµµ,2,1
2918,±Ì¿Ã∞®,3,2
2919,¥Áµµ,1,1
2920,±Ì¿Ã∞®,1,1
2921,±Ì¿Ã∞®,2,1
2922,±Ì¿Ã∞®,4,1
2923,±Ì¿Ã∞®,1,1
2924,¥Áµµ,3,2
2925,¥Áµµ,3,2
2926,±Ì¿Ã∞®,2,1
2927,±Ì¿Ã∞®,1,1
2928,±Ì¿Ã∞®,3,1
2929,±Ì¿Ã∞®,1,1
2930,±Ì¿Ã∞®,1,1
2931,¥Áµµ,2,1
2932,±Ì¿Ã∞®,2,1
2933,¥Áµµ,1,1
2934,¥Áµµ,3,2
2935,±Ì¿Ã∞®,2,1
2936,±Ì¿Ã∞®,4,1
2937,±Ì¿Ã∞®,1,1
2938,±Ì¿Ã∞®,3,2
2939,±Ì¿Ã∞®,3,2
2940,¥Áµµ,1,1
2941,±Ì¿Ã∞®,3,2
2942,±Ì¿Ã∞®,3,1
2943,¥Áµµ,2,1
2944,¥Áµµ,1,1
2945,¥Áµµ,3,1
2946,±Ì¿Ã∞®,2,1
2947,¥Áµµ,3,2
2948,±Ì¿Ã∞®,4,3
2949,¥Áµµ,3,2
2950,¥Áµµ,2,1
2951,±Ì¿Ã∞®,2,1
2952,¥Áµµ,3,1
2953,±Ì¿Ã∞®,2,1
2954,±Ì¿Ã∞®,2,1
2955,±Ì¿Ã∞®,2,1
2956,±Ì¿Ã∞®,3,2
2957,¥Áµµ,2,1
2958,±Ì¿Ã∞®,2,1
2959,±Ì¿Ã∞®,2,1
2960,±Ì¿Ã∞®,1,1
2961,¥Áµµ,4,3
2962,¥Áµµ,2,1
2963,±Ì¿Ã∞®,1,1
2964,¥Áµµ,3,1
2965,±Ì¿Ã∞®,5,2
2966,±Ì¿Ã∞®,2,1
2967,±Ì¿Ã∞®,5,1
2968,¥Áµµ,2,1
2969,¥Áµµ,1,1
2970,±Ì¿Ã∞®,3,1
2971,±Ì¿Ã∞®,4,1
2972,¥Áµµ,3,2
2973,¥Áµµ,3,1
2974,¥Áµµ,2,1
2975,±Ì¿Ã∞®,2,1
2976,¥Áµµ,1,1
2977,±Ì¿Ã∞®,2,1
2978,¥Áµµ,3,2
2979,±Ì¿Ã∞®,1,1
2980,¥Áµµ,5,2
2981,±Ì¿Ã∞®,2,1
2982,¥Áµµ,2,1
2983,±Ì¿Ã∞®,4,1
2984,¥Áµµ,2,1
2985,±Ì¿Ã∞®,3,2
2986,¥Áµµ,2,1
2987,¥Áµµ,2,1
2988,±Ì¿Ã∞®,2,1
2989,±Ì¿Ã∞®,2,1
2990,±Ì¿Ã∞®,4,1
2991,¥Áµµ,2,1
2992,±Ì¿Ã∞®,1,1
2993,±Ì¿Ã∞®,2,1
2994,¥Áµµ,3,1
2995,±Ì¿Ã∞®,3,1
2996,¥Áµµ,3,2
2997,±Ì¿Ã∞®,3,2
2998,±Ì¿Ã∞®,3,1
2999,±Ì¿Ã∞®,3,1
3000,±Ì¿Ã∞®,3,1
3001,±Ì¿Ã∞®,1,1
3002,±Ì¿Ã∞®,2,1
3003,¥Áµµ,1,1
3004,¥Áµµ,1,1
3005,±Ì¿Ã∞®,2,1
3006,¥Áµµ,5,2
3007,¥Áµµ,3,2
3008,±Ì¿Ã∞®,2,1
3009,¥Áµµ,3,2
3010,¥Áµµ,3,1
3011,±Ì¿Ã∞®,3,1
3012,¥Áµµ,3,1
3013,¥Áµµ,3,2
3014,¥Áµµ,2,1
3015,¥Áµµ,0,0
3016,¥Áµµ,1,1
3017,¥Áµµ,5,1
3018,±Ì¿Ã∞®,3,1
3019,±Ì¿Ã∞®,1,1
3020,±Ì¿Ã∞®,2,1
3021,±Ì¿Ã∞®,5,2
3022,±Ì¿Ã∞®,5,4
3023,±Ì¿Ã∞®,3,2
3024,¥Áµµ,2,1
3025,¥Áµµ,1,1
3026,¥Áµµ,2,1
3027,¥Áµµ,2,1
3028,±Ì¿Ã∞®,1,1
3029,¥Áµµ,3,2
3030,±Ì¿Ã∞®,2,1
3031,±Ì¿Ã∞®,1,1
3032,±Ì¿Ã∞®,3,2
3033,¥Áµµ,1,1
3034,±Ì¿Ã∞®,3,2
3035,±Ì¿Ã∞®,1,1
3036,¥Áµµ,2,1
3037,±Ì¿Ã∞®,1,1
3038,¥Áµµ,2,1
3039,¥Áµµ,4,3
3040,±Ì¿Ã∞®,3,1
3041,¥Áµµ,4,3
3042,±Ì¿Ã∞®,2,1
3043,±Ì¿Ã∞®,3,2
3044,¥Áµµ,1,1
3045,±Ì¿Ã∞®,3,1
3046,±Ì¿Ã∞®,5,4
3047,¥Áµµ,3,1
3048,±Ì¿Ã∞®,2,1
3049,¥Áµµ,5,4
3050,±Ì¿Ã∞®,4,1
3051,¥Áµµ,3,2
3052,¥Áµµ,1,1
3053,¥Áµµ,3,1
3054,¥Áµµ,1,1
3055,±Ì¿Ã∞®,1,1
3056,¥Áµµ,2,1
3057,±Ì¿Ã∞®,3,1
3058,±Ì¿Ã∞®,2,1
3059,±Ì¿Ã∞®,3,1
3060,±Ì¿Ã∞®,2,1
3061,±Ì¿Ã∞®,1,1
3062,±Ì¿Ã∞®,1,1
3063,±Ì¿Ã∞®,2,1
3064,±Ì¿Ã∞®,4,2
3065,¥Áµµ,2,1
3066,±Ì¿Ã∞®,2,1
3067,±Ì¿Ã∞®,2,1
3068,¥Áµµ,3,2
3069,±Ì¿Ã∞®,2,1
3070,¥Áµµ,2,1
3071,¥Áµµ,1,1
3072,±Ì¿Ã∞®,3,1
3073,±Ì¿Ã∞®,2,1
3074,¥Áµµ,2,1
3075,±Ì¿Ã∞®,2,1
3076,¥Áµµ,1,1
3077,¥Áµµ,3,2
3078,¥Áµµ,3,2
3079,¥Áµµ,3,1
3080,±Ì¿Ã∞®,3,2
3081,¥Áµµ,2,1
3082,¥Áµµ,3,1
3083,±Ì¿Ã∞®,2,1
3084,¥Áµµ,2,1
3085,±Ì¿Ã∞®,1,1
3086,¥Áµµ,2,1
3087,¥Áµµ,3,1
3088,¥Áµµ,1,1
3089,¥Áµµ,2,1
3090,±Ì¿Ã∞®,2,1
3091,¥Áµµ,3,2
3092,±Ì¿Ã∞®,2,1
3093,±Ì¿Ã∞®,4,3
3094,±Ì¿Ã∞®,2,1
3095,±Ì¿Ã∞®,2,1
3096,±Ì¿Ã∞®,2,1
3097,±Ì¿Ã∞®,3,2
3098,±Ì¿Ã∞®,1,1
3099,±Ì¿Ã∞®,3,2
3100,±Ì¿Ã∞®,2,1
3101,¥Áµµ,4,3
3102,¥Áµµ,1,1
3103,¥Áµµ,2,1
3104,¥Áµµ,3,1
3105,¥Áµµ,4,1
3106,±Ì¿Ã∞®,2,1
3107,±Ì¿Ã∞®,5,3
3108,±Ì¿Ã∞®,2,1
3109,¥Áµµ,1,1
3110,±Ì¿Ã∞®,3,2
3111,±Ì¿Ã∞®,3,2
3112,¥Áµµ,2,1
3113,¥Áµµ,4,3
3114,¥Áµµ,4,3
3115,±Ì¿Ã∞®,1,1
3116,¥Áµµ,3,1
3117,¥Áµµ,2,1
3118,±Ì¿Ã∞®,2,1
3119,¥Áµµ,2,1
3120,¥Áµµ,2,1
3121,¥Áµµ,1,1
3122,±Ì¿Ã∞®,1,1
3123,±Ì¿Ã∞®,2,1
3124,¥Áµµ,2,1
3125,¥Áµµ,4,2
3126,¥Áµµ,3,1
3127,±Ì¿Ã∞®,3,2
3128,¥Áµµ,2,1
3129,±Ì¿Ã∞®,2,1
3130,±Ì¿Ã∞®,2,1
3131,±Ì¿Ã∞®,3,2
3132,±Ì¿Ã∞®,2,1
3133,¥Áµµ,3,1
3134,¥Áµµ,1,1
3135,¥Áµµ,2,1
3136,¥Áµµ,2,1
3137,±Ì¿Ã∞®,2,1
3138,¥Áµµ,2,1
3139,±Ì¿Ã∞®,2,1
3140,±Ì¿Ã∞®,2,1
3141,±Ì¿Ã∞®,2,1
3142,¥Áµµ,1,1
3143,±Ì¿Ã∞®,1,1
3144,±Ì¿Ã∞®,5,1
3145,±Ì¿Ã∞®,4,1
3146,±Ì¿Ã∞®,1,1
3147,±Ì¿Ã∞®,3,1
3148,¥Áµµ,3,1
3149,¥Áµµ,2,1
3150,¥Áµµ,2,1
3151,±Ì¿Ã∞®,2,1
3152,±Ì¿Ã∞®,2,1
3153,¥Áµµ,2,1
3154,¥Áµµ,2,1
3155,¥Áµµ,2,1
3156,¥Áµµ,4,2
3157,¥Áµµ,3,2
3158,±Ì¿Ã∞®,3,2
3159,±Ì¿Ã∞®,3,1
3160,¥Áµµ,2,1
3161,¥Áµµ,5,2
3162,±Ì¿Ã∞®,3,1
3163,±Ì¿Ã∞®,6,3
3164,±Ì¿Ã∞®,3,1
3165,¥Áµµ,2,1
3166,±Ì¿Ã∞®,5,3
3167,¥Áµµ,3,1
3168,±Ì¿Ã∞®,3,1
3169,¥Áµµ,2,1
3170,±Ì¿Ã∞®,1,1
3171,±Ì¿Ã∞®,1,1
3172,¥Áµµ,2,1
3173,±Ì¿Ã∞®,2,1
3174,¥Áµµ,2,1
3175,¥Áµµ,2,1
3176,¥Áµµ,2,1
3177,±Ì¿Ã∞®,1,1
3178,±Ì¿Ã∞®,4,1
3179,±Ì¿Ã∞®,2,1
3180,¥Áµµ,2,1
3181,±Ì¿Ã∞®,2,1
3182,±Ì¿Ã∞®,5,1
3183,±Ì¿Ã∞®,3,1
3184,±Ì¿Ã∞®,3,1
3185,¥Áµµ,2,1
3186,±Ì¿Ã∞®,2,1
3187,¥Áµµ,1,1
3188,±Ì¿Ã∞®,2,1
3189,¥Áµµ,3,1
3190,±Ì¿Ã∞®,1,1
3191,±Ì¿Ã∞®,2,1
3192,¥Áµµ,1,1
3193,¥Áµµ,2,1
3194,±Ì¿Ã∞®,2,1
3195,¥Áµµ,2,1
3196,±Ì¿Ã∞®,3,2
3197,¥Áµµ,2,1
3198,±Ì¿Ã∞®,3,1
3199,±Ì¿Ã∞®,2,1
3200,¥Áµµ,1,1
3201,¥Áµµ,2,1
3202,±Ì¿Ã∞®,5,4
3203,¥Áµµ,5,3
3204,±Ì¿Ã∞®,3,2
3205,¥Áµµ,2,1
3206,¥Áµµ,3,2
3207,±Ì¿Ã∞®,3,2
3208,±Ì¿Ã∞®,2,1
3209,±Ì¿Ã∞®,4,2
3210,¥Áµµ,2,1
3211,±Ì¿Ã∞®,3,1
3212,¥Áµµ,2,1
3213,±Ì¿Ã∞®,1,1
3214,¥Áµµ,2,1
3215,¥Áµµ,1,1
3216,¥Áµµ,2,1
3217,±Ì¿Ã∞®,1,1
3218,¥Áµµ,1,1
3219,±Ì¿Ã∞®,2,1
3220,¥Áµµ,3,2
3221,¥Áµµ,2,1
3222,¥Áµµ,7,2
3223,¥Áµµ,1,1
3224,±Ì¿Ã∞®,3,2
3225,±Ì¿Ã∞®,3,1
3226,¥Áµµ,2,1
3227,¥Áµµ,2,1
3228,±Ì¿Ã∞®,3,2
3229,±Ì¿Ã∞®,3,1
3230,¥Áµµ,5,3
3231,¥Áµµ,4,2
3232,¥Áµµ,2,1
3233,¥Áµµ,2,1
3234,±Ì¿Ã∞®,2,1
3235,±Ì¿Ã∞®,3,2
3236,¥Áµµ,1,1
3237,±Ì¿Ã∞®,3,2
3238,±Ì¿Ã∞®,4,1
3239,¥Áµµ,1,1
3240,±Ì¿Ã∞®,3,1
3241,±Ì¿Ã∞®,2,1
3242,±Ì¿Ã∞®,5,1
3243,¥Áµµ,1,1
3244,±Ì¿Ã∞®,2,1
3245,±Ì¿Ã∞®,3,1
3246,¥Áµµ,3,1
3247,±Ì¿Ã∞®,1,1
3248,±Ì¿Ã∞®,1,1
3249,±Ì¿Ã∞®,2,1
3250,±Ì¿Ã∞®,3,2
3251,¥Áµµ,2,1
3252,¥Áµµ,1,1
3253,¥Áµµ,0,0
3254,±Ì¿Ã∞®,2,1
3255,¥Áµµ,4,2
3256,±Ì¿Ã∞®,2,1
3257,±Ì¿Ã∞®,4,3
3258,¥Áµµ,2,1
3259,±Ì¿Ã∞®,3,2
3260,¥Áµµ,2,1
3261,¥Áµµ,2,1
3262,¥Áµµ,2,1
3263,±Ì¿Ã∞®,3,1
3264,±Ì¿Ã∞®,2,1
3265,¥Áµµ,3,1
3266,±Ì¿Ã∞®,2,1
3267,¥Áµµ,2,1
3268,¥Áµµ,1,1
3269,¥Áµµ,4,1
3270,¥Áµµ,2,1
3271,¥Áµµ,2,1
3272,¥Áµµ,2,1
3273,±Ì¿Ã∞®,1,1
3274,¥Áµµ,3,2
3275,¥Áµµ,2,1
3276,±Ì¿Ã∞®,3,2
3277,¥Áµµ,2,1
3278,¥Áµµ,4,3
3279,±Ì¿Ã∞®,1,1
3280,¥Áµµ,2,1
3281,¥Áµµ,3,2
3282,±Ì¿Ã∞®,2,1
3283,¥Áµµ,2,1
3284,±Ì¿Ã∞®,3,1
3285,¥Áµµ,2,1
3286,¥Áµµ,1,1
3287,±Ì¿Ã∞®,2,1
3288,¥Áµµ,2,1
3289,¥Áµµ,4,2
3290,¥Áµµ,3,1
3291,±Ì¿Ã∞®,2,1
3292,±Ì¿Ã∞®,2,1
3293,¥Áµµ,1,1
3294,¥Áµµ,5,1
3295,¥Áµµ,1,1
3296,±Ì¿Ã∞®,2,1
3297,¥Áµµ,3,1
3298,±Ì¿Ã∞®,4,3
3299,¥Áµµ,1,1
3300,±Ì¿Ã∞®,4,2
3301,±Ì¿Ã∞®,1,1
3302,±Ì¿Ã∞®,2,1
3303,¥Áµµ,5,3
3304,¥Áµµ,3,1
3305,±Ì¿Ã∞®,2,1
3306,¥Áµµ,3,2
3307,±Ì¿Ã∞®,2,1
3308,±Ì¿Ã∞®,6,3
3309,±Ì¿Ã∞®,4,3
3310,±Ì¿Ã∞®,1,1
3311,±Ì¿Ã∞®,4,2
3312,±Ì¿Ã∞®,1,1
3313,±Ì¿Ã∞®,2,1
3314,¥Áµµ,2,1
3315,¥Áµµ,1,1
3316,±Ì¿Ã∞®,2,1
3317,¥Áµµ,3,1
3318,±Ì¿Ã∞®,3,1
3319,±Ì¿Ã∞®,5,4
3320,¥Áµµ,2,1
3321,¥Áµµ,0,0
3322,¥Áµµ,5,3
3323,¥Áµµ,2,1
3324,¥Áµµ,3,2
3325,¥Áµµ,3,1
3326,±Ì¿Ã∞®,3,2
3327,¥Áµµ,3,1
3328,¥Áµµ,3,2
3329,±Ì¿Ã∞®,3,2
3330,¥Áµµ,3,2
3331,¥Áµµ,3,2
3332,¥Áµµ,1,1
3333,±Ì¿Ã∞®,3,2
3334,¥Áµµ,1,1
3335,¥Áµµ,2,1
3336,±Ì¿Ã∞®,5,3
3337,¥Áµµ,3,2
3338,±Ì¿Ã∞®,3,1
3339,±Ì¿Ã∞®,1,1
3340,±Ì¿Ã∞®,6,4
3341,¥Áµµ,2,1
3342,¥Áµµ,2,1
3343,±Ì¿Ã∞®,3,1
3344,¥Áµµ,2,1
3345,¥Áµµ,3,2
3346,¥Áµµ,2,1
3347,¥Áµµ,3,1
3348,¥Áµµ,3,1
3349,±Ì¿Ã∞®,3,2
3350,±Ì¿Ã∞®,5,2
3351,¥Áµµ,3,2
3352,±Ì¿Ã∞®,1,1
3353,¥Áµµ,4,3
3354,¥Áµµ,3,2
3355,¥Áµµ,2,1
3356,¥Áµµ,1,1
3357,¥Áµµ,1,1
3358,±Ì¿Ã∞®,1,1
3359,¥Áµµ,3,1
3360,¥Áµµ,3,2
3361,¥Áµµ,2,1
3362,¥Áµµ,4,2
3363,¥Áµµ,2,1
3364,¥Áµµ,2,1
3365,¥Áµµ,1,1
3366,±Ì¿Ã∞®,2,1
